2	0	150001	0	1	1D	0	1	0	0	江苏	电信	1	男	0	0	1	129	1000	50	103996952	11913018	11912989	103996225	0	0	5	11	0
2	0	150003	0	1	1A	0	1	0	0	山东	移动	1	男	1	1	1	207	2540.26	27	18401644	39398362	9497379	0	2	1	1	9	0
2	0	150003	0	1	1C	0	1	0	0	江苏	移动	0	女	1	1	1	326	13000	33	265	38854412	9057584	0	5	1	1	7	0
2	0	150003	0	1	1E	0	1	0	0	江苏	移动	1	女	1	1	1	105	1000	51	9342182	14873134	11489211	-1	23	3	1	19	0
2	0	150003	0	1	1H	0	1	0	0	云南	电信	1	男	1	1	1	117	10000	34	181	47441891	47363705	0	0	0	2	16	0
3	1002	150003	2	2	null	0	1	0	0	福建	移动	1	男	1	1	5	389	6000	22	16842045	29	0	0	0	0	1	13	1
3	51	150003	0	2	1D	0	1	1	1	山东	移动	1	男	0	0	1	58	50	34	27642526	16412121	15367374	0	0	0	1	14	1
3	1	150003	0	1	1A	0	1	0	0	北京	移动	0	男	1	1	1	67	100000	30	12305859	31302303	620024	0	3	1	3	16	0
2	0	150001	0	1	null	0	1	0	0	江苏	联通	1	男	1	1	1	117	20000	39	21271359	2259	1958	0	0	0	1	11	0
3	51	150003	0	2	null	0	1	1	1	山东	移动	1	男	1	1	1	73	5000	27	190	906	13	-1	0	0	1	17	1
3	51	150003	0	2	null	0	1	1	1	山东	移动	1	男	1	1	1	59	500	27	190	153790	13	-1	0	0	1	11	1
3	1002	150003	2	2	null	0	1	1	1	甘肃	移动	1	女	1	1	5	616	10000	26	251	14	0	-1	0	0	1	11	1
2	0	150003	0	1	1E	0	1	0	0	辽宁	移动	1	男	1	1	1	219	200000	48	170	16222476	150	0	2	2	1	6	0
2	0	150003	0	1	1D	0	1	0	0	陕西	移动	1	男	1	1	1	181	9438.32	51	1271992	34998243	1876	1271227	44	1	2	11	0
2	0	150003	0	1	1D	0	1	0	0	山东	移动	0	男	1	1	1	269	100000	53	3150323	56016073	0	3149662	19	1	1	4	0
2	0	150003	0	1	1B	0	1	0	0	山东	移动	1	女	1	1	1	139	6300	40	258	31447409	501	0	7	2	2	22	0
2	0	150003	0	1	1C	0	1	0	0	广东	移动	1	男	0	0	1	352	2390	35	35248459	10522962	12722028	0	4	1	3	10	0
2	0	150003	0	1	1A	0	1	0	0	北京	移动	1	女	1	1	1	140	4200	33	1113	25709682	19037484	0	12	1	2	20	0
3	51	150001	0	1	1E	0	1	0	0	湖南	移动	1	男	0	0	1	460	100	28	111	2442456	2401861	0	24	6	2	21	0
2	0	150003	0	1	1D	0	1	0	0	上海	移动	1	女	0	0	1	154	1000	29	31717466	13660772	787	-1	1	1	2	13	0
3	51	150003	0	1	null	0	1	0	0	江西	电信	1	男	0	0	1	118	3000	26	139	6563717	6563730	0	0	0	1	17	0
2	0	150001	0	1	null	0	1	0	0	江苏	电信	1	女	1	1	1	66	20000	40	5457462	860514	619	0	0	0	1	14	0
3	51	150003	0	2	null	0	1	0	0	湖北	移动	1	男	1	1	1	71	5000	28	102	1907	18	0	0	0	1	14	1
3	51	150003	0	1	1A	0	1	0	0	广东	移动	1	男	0	1	1	93	500	36	41879879	1171006	776616	0	0	0	1	12	0
2	0	150003	0	1	1D	0	1	0	0	广东	移动	1	男	1	1	1	193	4100	40	207	26038554	19438839	0	24	1	1	23	0
2	0	150003	0	1	1A	0	1	0	0	江苏	移动	1	女	1	1	1	176	7000	32	518182	28999380	6011958	0	4	2	1	14	0
3	51	150003	0	1	1C	0	1	0	0	江苏	移动	1	女	1	1	1	51	2	29	173455	33307359	7091754	0	13	1	2	22	0
2	0	150003	0	1	1A	0	1	0	0	福建	移动	1	男	1	1	1	157	900	47	27748580	11653002	35	7802347	9	1	4	13	0
2	0	150003	0	1	null	0	1	0	0	四川	电信	1	男	0	0	1	270	5	35	119	1867066	1867067	-1	1	1	1	6	0
2	0	150003	0	1	1A	0	1	0	0	陕西	联通	1	女	1	1	1	113	63000.19	35	20648973	26006150	18	0	3	2	2	10	0
2	0	150003	0	1	1C	0	1	0	0	湖北	联通	1	女	1	1	1	212	9875	37	85308	40061779	34601914	0	2	1	2	13	0
2	0	150003	1	2	null	0	1	1	1	四川	移动	1	女	1	1	4	84	8000	24	311	26	30	0	0	0	1	10	1
2	0	150003	0	1	1E	0	1	0	0	河南	移动	1	男	1	1	1	245	449	29	1907521	18122320	153	-1	16	1	1	14	0
3	51	150003	0	2	1A	0	1	0	0	甘肃	电信	1	女	1	1	1	64	2000	19	95	846	798	0	0	0	1	19	1
2	0	150003	0	1	1B	0	1	0	0	江苏	移动	1	男	1	1	1	207	99000	46	1025	61910855	40173757	0	5	1	2	10	0
3	51	150003	0	1	1E	0	1	0	0	广东	联通	1	男	1	1	1	148	300	29	286212	2098941	71993	0	0	0	1	23	0
2	0	150003	0	1	null	0	1	0	0	湖南	移动	1	男	0	0	1	110	500	41	16595317	3259456	2229476	0	2	2	1	13	0
2	0	150003	0	1	null	0	1	0	0	广东	联通	1	男	0	1	1	113	100	28	13574221	1296979	1296980	0	0	0	1	11	0
3	51	150001	0	1	1D	0	1	0	0	四川	移动	1	女	1	1	1	234	20000	30	146	29322547	249	0	3	2	1	21	0
2	0	150003	0	1	1E	0	1	0	0	福建	移动	1	男	1	1	1	121	20000	38	28561771	15662084	69	0	7	2	2	15	0
3	51	150003	0	1	1A	0	1	0	0	广东	移动	1	男	0	0	1	126	5.12	27	12078188	10612155	10612174	0	0	0	2	22	0
2	0	150003	0	1	1A	0	1	0	0	上海	联通	0	女	1	1	1	120	42000	61	167551	50862373	0	0	1	1	1	13	0
3	51	150003	0	1	null	0	1	0	0	福建	联通	1	男	1	1	1	64	10000	31	12283159	8372459	1715	0	8	3	1	18	0
2	0	150003	0	1	1A	0	1	0	0	广东	移动	1	女	1	1	1	73	100	25	168	39466300	154	0	3	1	3	18	0
2	0	150003	0	1	1F	0	1	0	0	江西	联通	1	女	1	1	1	161	4000	27	1705925	29376328	144	0	13	2	2	10	0
2	0	150003	0	1	1B	0	1	0	0	安徽	移动	1	女	1	1	1	520	1020	31	29971147	8143892	350	29970709	4	1	2	20	0
2	0	150001	0	1	1D	0	1	0	0	福建	移动	1	男	1	1	1	95	20000	40	28927638	15109215	5368668	0	2	1	1	10	0
2	0	150001	0	1	null	0	1	0	0	江苏	移动	1	男	1	1	1	119	8000	32	44467713	489939	157	0	1	1	1	9	0
3	51	150003	0	1	1E	0	1	0	0	安徽	移动	1	男	0	0	1	51	30	23	9745056	7441343	7441292	0	0	0	1	1	0
2	0	150001	0	1	1E	0	1	0	0	陕西	移动	1	女	1	1	1	37	19000	57	12855407	13299468	13239416	12855405	18	1	3	17	0
2	0	150001	0	1	null	0	1	0	0	黑龙江	移动	1	女	1	1	1	189	20000	44	190	3570057	1483153	0	9	2	2	20	0
3	1	150003	0	1	1D	0	0	0	0	河南	联通	0	女	1	1	1	75	3000	34	79431490	44234170	64	77010019	20	1	1	16	0
3	1002	150003	2	2	null	0	1	1	1	云南	移动	1	男	1	1	5	215	10000	40	15924009	17	0	0	0	0	1	14	1
3	51	150003	0	2	null	0	1	1	1	广西	移动	1	男	1	1	1	74	100	39	658	122	0	-1	0	0	1	11	1
3	1	150003	0	1	1D	0	1	0	0	河南	移动	1	男	1	1	1	58	1000	29	28846908	19684745	580669	11823800	5	2	2	17	0
3	51	150003	1	2	null	0	1	1	1	福建	电信	1	男	1	1	4	210	10000	31	622	70	0	0	0	0	1	10	1
2	0	150003	0	1	1D	0	1	0	0	上海	移动	0	女	1	1	1	229	520	26	7105600	40257100	138	7105339	12	1	2	20	0
3	51	150001	0	1	null	0	1	0	0	江苏	移动	1	男	0	0	1	258	500	30	10798794	10609132	10609081	0	5	3	1	4	0
2	0	150001	0	1	null	0	1	0	0	江苏	电信	1	女	1	1	1	85	1000	25	85	104	26	0	0	0	1	13	0
3	51	150003	1	2	null	0	1	1	1	新疆	移动	1	男	1	1	4	282	20000	26	15834727	33	0	0	0	0	1	11	1
2	0	150003	0	1	1D	0	1	0	0	浙江	电信	1	男	1	1	1	155	100000	25	101389349	42806674	148	101389243	0	0	2	14	0
2	0	150003	0	1	1E	0	1	0	0	江苏	移动	1	女	1	1	1	103	20000	30	503888	36248683	31150532	0	5	1	2	8	0
2	0	150001	0	1	null	0	1	0	0	江苏	电信	1	女	1	1	1	78	20000	34	40284725	5567868	24	0	21	2	1	10	0
2	0	150003	0	1	1A	0	1	0	0	安徽	移动	1	女	1	1	1	73	30000	64	8763114	6497505	201413	0	5	1	3	12	0
3	51	150003	0	1	1A	0	1	0	0	湖北	移动	1	男	0	0	1	161	500	25	9487010	6712416	6712519	0	0	0	1	8	0
3	51	150003	0	2	null	0	1	1	1	四川	移动	1	男	1	1	1	64	1000	49	88140	12223	17	0	0	0	1	20	1
2	0	150003	0	1	1A	0	1	0	0	上海	移动	0	男	1	1	1	122	7000	27	37926186	6652630	7604098	0	0	0	2	14	0
2	0	150003	0	1	1A	nul	1	0	0	云南	移动	1	男	0	0	1	133	500	44	267442107	71718276	41131898	-2	3	1	4	21	0
2	0	150003	0	1	null	0	1	0	0	吉林	移动	1	女	1	1	1	116	500	32	286	204143	41	0	0	0	1	15	0
2	0	150003	0	1	1A	0	1	0	0	江苏	移动	1	男	1	1	1	75	100	31	27443341	793	794	0	0	0	1	20	0
2	0	150003	0	1	1D	0	1	0	0	广东	移动	1	女	1	1	1	184	2000	36	269	61031822	0	0	2	1	2	9	0
3	51	150003	0	2	null	0	1	1	1	湖南	移动	1	男	1	1	1	73	6400	44	17015904	196	758	0	0	0	1	15	1
2	0	150003	0	1	null	0	1	0	0	河北	移动	1	女	1	1	1	104	100	33	680340	454966	26109	0	0	0	2	23	0
2	0	150003	0	1	1D	0	1	0	0	上海	电信	0	女	1	1	1	123	50000	31	27860547	16319406	439	0	0	0	1	10	0
3	51	150003	0	1	null	0	1	1	1	海南	移动	1	男	1	1	1	68	40000	41	297	27	0	0	0	0	1	14	0
2	0	150003	0	1	1E	0	1	0	0	江苏	移动	1	男	0	0	1	492	100	26	117759	58482939	34362114	0	33	1	5	15	0
3	51	150003	0	1	null	0	1	0	0	天津	移动	0	女	1	1	1	70	74	26	44090127	494586	75021	0	0	0	1	9	0
3	1	150001	0	1	1D	0	1	0	0	安徽	移动	1	男	0	0	1	107	20000	33	29055754	15029818	15809520	0	0	0	7	15	0
2	0	150003	0	1	1E	0	1	0	0	安徽	电信	1	女	1	1	1	237	2000	50	4777821	18518406	715571	0	10	2	2	19	0
2	0	150003	0	1	1G	0	1	0	0	江西	移动	1	女	1	1	1	159	100	30	29112	12537656	2785512	0	6	2	2	17	0
2	0	150003	0	1	1D	0	1	0	0	浙江	联通	1	男	1	1	1	265	2367	32	885	36035482	11143224	0	4	1	2	1	0
3	51	150001	0	1	null	0	1	0	0	广东	移动	1	男	0	0	1	77	5000	24	713	19184	19105	0	0	0	1	20	0
2	0	150003	0	1	1C	0	1	0	0	江西	电信	1	男	1	1	1	123	1800	36	245133	60507677	20259601	1166	7	2	2	17	0
2	0	150003	0	1	1A	0	1	0	0	四川	移动	1	男	1	1	1	56	1000	28	8098310	5870593	5870596	0	0	0	1	8	0
2	0	150003	0	1	1A	0	1	0	0	广东	联通	1	男	1	1	1	119	17000	25	187	46475414	450	0	0	0	3	12	0
2	0	150003	0	1	1D	0	1	0	0	江苏	移动	1	女	1	1	1	135	50000	43	20685098	24776735	10641240	0	2	2	2	8	0
2	0	150003	0	1	1A	nul	0	0	0	湖北	移动	1	男	1	1	1	388	10000	39	207670086	54870812	27395391	187287087	4	1	5	14	0
2	0	150003	0	1	null	0	1	0	0	江苏	移动	0	女	1	1	1	108	1000	36	38450950	5113657	504431	0	28	1	1	21	0
2	0	150003	0	1	1A	0	1	0	0	安徽	电信	0	男	1	1	1	532	500	37	15638205	53234984	45805852	15000262	11	2	2	16	0
2	0	150003	0	1	1D	0	1	0	0	湖北	移动	1	女	1	1	1	225	2940	39	18380955	6426194	60	10959830	29	2	3	20	0
2	0	150003	0	1	1D	0	1	0	0	安徽	电信	0	男	1	1	1	187	10000	28	140	62662386	52915396	0	24	1	2	15	0
3	51	150003	0	1	null	0	1	1	1	内蒙古	移动	1	男	1	1	1	70	10000	33	390	60	0	0	0	0	1	10	0
2	0	150003	0	1	1H	0	1	0	0	河南	移动	0	男	1	1	1	152	50000	32	8271300	60660794	53423933	7753190	7	1	1	10	0
3	51	150001	0	1	1A	0	1	0	0	辽宁	联通	1	男	1	1	1	96	20000	55	5056709	16002097	9944081	-1	1	1	1	16	0
2	0	150003	0	1	1B	0	1	0	0	山东	移动	1	女	1	1	1	307	500	33	481	28513896	53	153	8	1	2	10	0
2	0	150003	0	1	1A	0	0	0	0	江苏	移动	1	女	1	1	1	194	2256.44	43	516129	58765553	52769481	515785	3	1	2	20	0
2	0	150003	0	1	1E	0	1	0	0	江苏	联通	1	女	1	1	1	379	50000	27	4249828	16182965	22	0	14	5	2	17	0
2	0	150003	0	1	null	0	1	0	0	上海	移动	1	女	1	1	1	92	9000	36	44837519	385304	222	-1	0	0	2	22	0
2	0	150003	0	1	null	0	1	0	0	云南	移动	1	女	0	0	1	71	2900	31	17808350	16178	16179	600944	1	1	2	22	0
2	0	150003	0	1	1E	0	1	0	0	湖南	移动	1	女	1	1	1	174	9607.1	35	28928757	8069826	329	28928439	7	3	4	19	0
2	0	150003	0	1	null	0	1	0	0	重庆	移动	0	女	0	0	1	106	200	29	25468345	1207077	514290	0	2	2	1	0	0
2	0	150003	0	1	1D	0	1	0	0	云南	移动	1	男	1	1	1	127	8500	30	21337490	24344490	185	0	4	1	3	12	0
2	0	150001	0	1	1G	0	1	0	0	广东	移动	1	女	1	1	1	111	20000	29	4112129	16231383	58	0	6	3	2	12	0
2	0	150003	0	1	null	0	1	0	0	浙江	移动	1	女	1	1	1	80	1800	39	603568	12173532	1432713	603226	10	2	2	16	0
2	0	150003	0	1	1D	0	1	0	0	北京	联通	0	女	0	0	1	155	800	35	133	30654189	603654	0	3	1	1	10	0
2	0	150001	0	1	null	0	1	0	0	江苏	移动	1	女	1	1	1	76	100000	28	599442	364	150	0	0	0	1	10	0
2	0	150003	0	1	1H	0	1	0	0	安徽	电信	1	女	1	1	1	63	100	19	655	26928342	228	0	0	0	1	12	0
