3,51,150003,0,106,12000,1,null,0,0,1,1,1,1,0,0,广东,移动,1,1,1,1,男,29,15046880,1154,1,1,0,0,0,0,1,1,6,0
2,0,150003,1,121,10000,2,null,0,0,1,1,1,1,1,1,湖北,联通,0,0,1,0,女,38,15750421,59,1,1,61,0,0,0,1,4,14,1
2,0,150003,0,133,5000,1,1D,0,0,1,1,1,1,0,0,河南,联通,0,0,1,1,女,34,32396643,15004100,1,1,4668882,32334647,0,0,3,1,10,0
2,0,150003,0,207,632.6,1,1D,0,0,1,1,1,1,0,0,北京,移动,1,1,0,0,男,55,3955338,39154447,1,1,96,0,13,2,2,1,18,0
3,51,150003,0,97,5000,2,null,0,0,1,1,1,1,1,1,江苏,移动,0,0,1,0,男,35,1140,319,1,1,11,0,0,0,1,1,19,1
3,Y1,150003,0,183,50000,1,1D,0,0,1,1,1,1,0,0,北京,移动,0,0,0,0,女,35,47869681,20632365,1,1,14459251,0,9,2,2,1,10,0
3,51,150003,0,66,2000,1,null,0,0,1,1,1,1,1,1,上海,联通,1,1,0,0,女,26,16171108,46,1,1,28,0,0,0,1,1,15,0
2,0,150001,0,129,1000,1,1D,0,0,1,1,1,1,0,0,江苏,电信,0,0,1,0,男,50,103996952,11913018,0,0,11912989,103996225,0,0,5,1,11,0
2,0,150003,0,207,2540.26,1,1A,0,0,1,1,1,1,0,0,山东,移动,0,0,1,1,男,27,18401644,39398362,1,1,9497379,0,2,1,1,1,9,0
2,0,150003,0,326,13000,1,1C,0,0,1,1,1,1,0,0,江苏,移动,0,0,0,0,女,33,265,38854412,1,1,9057584,0,5,1,1,1,7,0
2,0,150003,0,105,1000,1,1E,0,0,1,1,1,1,0,0,江苏,移动,0,0,1,0,女,51,9342182,14873134,1,1,11489211,-1,23,3,1,1,19,0
2,0,150003,0,117,10000,1,1H,0,0,1,1,1,1,0,0,云南,电信,1,1,1,0,男,34,181,47441891,1,1,47363705,0,0,0,2,1,16,0
3,1002,150003,2,389,6000,2,null,0,0,1,1,1,1,0,0,福建,移动,0,1,1,1,男,22,16842045,29,1,1,0,0,0,0,1,5,13,1
3,51,150003,0,58,50,2,1D,0,0,1,1,1,1,1,1,山东,移动,0,0,1,0,男,34,27642526,16412121,0,0,15367374,0,0,0,1,1,14,1
3,1,150003,0,67,100000,1,1A,0,0,1,1,1,1,0,0,北京,移动,1,1,0,0,男,30,12305859,31302303,1,1,620024,0,3,1,3,1,16,0
2,0,150001,0,117,20000,1,null,0,0,1,1,1,1,0,0,江苏,联通,0,0,1,1,男,39,21271359,2259,1,1,1958,0,0,0,1,1,11,0
3,51,150003,0,73,5000,2,null,0,0,1,1,1,1,1,1,山东,移动,0,0,1,0,男,27,190,906,1,1,13,-1,0,0,1,1,17,1
3,51,150003,0,59,500,2,null,0,0,1,1,1,1,1,1,山东,移动,0,0,1,0,男,27,190,153790,1,1,13,-1,0,0,1,1,11,1
3,1002,150003,2,616,10000,2,null,0,0,1,1,1,1,1,1,甘肃,移动,0,1,1,0,女,26,251,14,1,1,0,-1,0,0,1,5,11,1
2,0,150003,0,219,200000,1,1E,0,0,1,1,1,1,0,0,辽宁,移动,0,0,1,0,男,48,170,16222476,1,1,150,0,2,2,1,1,6,0
2,0,150003,0,181,9438.32,1,1D,0,0,1,1,1,1,0,0,陕西,移动,0,0,1,0,男,51,1271992,34998243,1,1,1876,1271227,44,1,2,1,11,0
2,0,150003,0,269,100000,1,1D,0,0,1,1,1,1,0,0,山东,移动,0,0,0,0,男,53,3150323,56016073,1,1,0,3149662,19,1,1,1,4,0
2,0,150003,0,139,6300,1,1B,0,0,1,1,1,1,0,0,山东,移动,0,0,1,0,女,40,258,31447409,1,1,501,0,7,2,2,1,22,0
2,0,150003,0,352,2390,1,1C,0,0,1,1,1,1,0,0,广东,移动,0,1,1,0,男,35,35248459,10522962,0,0,12722028,0,4,1,3,1,10,0
2,0,150003,0,140,4200,1,1A,0,0,1,1,1,1,0,0,北京,移动,1,1,1,1,女,33,1113,25709682,1,1,19037484,0,12,1,2,1,20,0
